Date,ED1,ED2,ED3,ED4,ED5,ED6,ED7,ED8,ED9,ED10,ED11,ED12,ED13,ED14,ED15,ED16,ED17,ED18,ED19,ED20
2/15/2000,6.498573314,6.810958428,7.08457253,7.243785874,7.35094185,7.434165148,7.521589638,7.538439417,7.507816176,7.510274041,7.546465499,7.549233121,7.511502133,7.517274148,7.558048791,7.588467943,7.566916456,7.593227102,7.622253327,7.745722658
2/16/2000,6.514954167,6.831943387,7.111105033,7.267260292,7.371696335,7.455062205,7.54214009,7.560550641,7.532932518,7.53770071,7.577270332,7.580841388,7.546696787,7.55443889,7.59911222,7.629994044,7.612762361,7.638212132,7.668084628,7.792359102
2/17/2000,6.559098105,6.915191803,7.202859333,7.353020429,7.453180089,7.525406956,7.599691404,7.606193549,7.576219074,7.572410572,7.605043684,7.602773938,7.56439417,7.567073197,7.607753623,7.632337995,7.610831203,7.631242355,7.65667598,7.777609391
2/18/2000,6.56587281,6.914540627,7.203608259,7.352212334,7.444020223,7.503022123,7.560782872,7.55982276,7.529329028,7.519390814,7.548387459,7.538901422,7.499637828,7.499574877,7.538617134,7.559640269,7.535874766,7.554655782,7.575690201,7.705471618
2/22/2000,6.502994985,6.810549355,7.085174868,7.219688893,7.304379055,7.359156395,7.418826601,7.41219708,7.384145406,7.376096017,7.413953337,7.403093303,7.373212655,7.374629776,7.416581369,7.435115555,7.41693695,7.436845046,7.464962225,7.594181051
2/23/2000,6.53161756,6.870803597,7.158422912,7.28693159,7.370205608,7.42405734,7.487705028,7.481942752,7.454087381,7.446010489,7.484639631,7.472287716,7.443406418,7.444522021,7.487470781,7.50461863,7.487184979,7.506962633,7.535659229,7.666557569
2/24/2000,6.484140137,6.771141327,7.018614438,7.151939513,7.242764644,7.293588951,7.361408193,7.359381915,7.33715739,7.333870969,7.37823751,7.369336198,7.34640579,7.35216876,7.401044012,7.421771476,7.409958167,7.434838274,7.46738851,7.59528335
2/25/2000,6.447551572,6.673896139,6.911679884,7.051762918,7.148939254,7.215388691,7.284632771,7.280318746,7.268906277,7.271806354,7.324326318,7.325052521,7.309451683,7.322169406,7.383012307,7.409356785,7.402812624,7.432629279,7.470608292,7.605223744
2/28/2000,6.484268835,6.734248546,6.995785465,7.131288932,7.230277358,7.297621848,7.366111611,7.362109319,7.354971679,7.356749555,7.41185581,7.408108876,7.395373028,7.407446149,7.471118056,7.493132764,7.488946535,7.518324612,7.558020338,7.697465246
2/29/2000,6.498373185,6.761071445,7.01941489,7.15562245,7.254436395,7.309825559,7.380214614,7.374058417,7.361675331,7.358604844,7.409465051,7.399337654,7.382605253,7.389532091,7.449177197,7.464789758,7.456540827,7.480514441,7.517824628,7.664219565
3/1/2000,6.485204151,6.746707282,6.990440792,7.117083359,7.214936239,7.273906039,7.346445479,7.3378654,7.330370885,7.328917335,7.380256249,7.368129605,7.356094262,7.365009104,7.425022305,7.439350651,7.431867716,7.455695244,7.493664295,7.641852782
3/2/2000,6.496178592,6.763953623,7.005489613,7.115941812,7.210769893,7.265757388,7.337275019,7.323956904,7.314630498,7.317754487,7.370375162,7.363659415,7.36006198,7.373210059,7.438547499,7.460017881,7.460554376,7.488872097,7.530716144,7.673915154
3/3/2000,6.485049851,6.748564187,6.979525569,7.086172083,7.182050052,7.236010263,7.308527903,7.289658734,7.279544001,7.28290161,7.336069974,7.328103959,7.325421713,7.338339353,7.404546151,7.42466321,7.425941739,7.454110829,7.496582332,7.641417449
3/6/2000,6.509751317,6.801324508,7.049173773,7.15379111,7.250230158,7.30224315,7.376080006,7.348785205,7.340047429,7.343061956,7.398658962,7.382824599,7.381194752,7.393737536,7.462996178,7.475240723,7.476716452,7.504983179,7.549082299,7.700223295
3/7/2000,6.505699667,6.77845652,7.007389591,7.113855623,7.206792248,7.264939615,7.346270069,7.318297793,7.309783087,7.316961491,7.374594761,7.357273094,7.356063196,7.372456765,7.444281486,7.454846114,7.456694646,7.488224958,7.536510257,7.679054802
3/8/2000,6.509271205,6.784503085,7.023600299,7.125421696,7.221493635,7.281321623,7.357843473,7.327220748,7.320606326,7.323254712,7.379943508,7.361756741,7.361413657,7.377701494,7.450215986,7.459432969,7.462106123,7.493532607,7.542429288,7.686467287
3/9/2000,6.508520365,6.778131506,7.011670085,7.10655465,7.203226042,7.253843862,7.327365374,7.301151462,7.292117533,7.293035544,7.350676674,7.331126031,7.331832762,7.347801473,7.421695278,7.425352241,7.427607221,7.455842584,7.501718529,7.659358116
3/10/2000,6.533962338,6.819410962,7.057880685,7.15689145,7.25347048,7.313203475,7.383811,7.359350712,7.352148802,7.357172302,7.416104706,7.399306156,7.402520867,7.41798273,7.492594324,7.494995709,7.497583601,7.529286754,7.579134141,7.727637089
3/13/2000,6.820167799,7.051525066,7.144565754,7.243309811,7.295232086,7.375049448,7.338955719,7.332329015,7.338241285,7.398355571,7.377297001,7.383930404,7.399143614,7.476159639,7.472813905,7.480602482,7.503854287,7.568877662,7.591269535,7.350704315
3/14/2000,6.550862504,6.819706485,7.047732176,7.130540094,7.227490648,7.28562476,7.355742871,7.327131782,7.322843578,7.328065807,7.38851556,7.366829239,7.377954784,7.394401222,7.471087234,7.467834209,7.47559679,7.498855923,7.563877029,7.586270377
3/15/2000,6.56503728,6.827501406,7.058976912,7.141580092,7.23443717,7.286205339,7.360853151,7.327348823,7.323188048,7.324078311,7.384121821,7.357768601,7.36389561,7.380043245,7.452875823,7.447592712,7.452247483,7.473827982,7.539890565,7.560279028
3/16/2000,6.566778726,6.831117374,7.05186066,7.123048619,7.211252083,7.252847746,7.325622475,7.296530819,7.289432166,7.285182013,7.340266618,7.312056976,7.319334021,7.335233118,7.409106072,7.398193693,7.40233046,7.424229415,7.490735234,7.509474249
3/17/2000,6.569231622,6.834264403,7.04914347,7.109616431,7.192200691,7.23387409,7.297304277,7.261865049,7.245946361,7.2359766,7.286756466,7.252046476,7.259872853,7.271807374,7.340994491,7.323418067,7.327846996,7.34616278,7.407586374,7.422889202
3/20/2000,6.587521697,6.852792458,7.073056693,7.13157447,7.209930833,7.250308959,7.31338339,7.27481929,7.265377893,7.256624095,7.30776171,7.270481044,7.280888005,7.29272015,7.362904747,7.341907174,7.348841811,7.367382597,7.426255876,7.433868063
3/21/2000,6.590178899,6.841454259,7.044900152,7.101723346,7.190082193,7.235711993,7.298700613,7.259270381,7.250361259,7.241894989,7.292744786,7.259427353,7.271373695,7.283006449,7.353518509,7.33140889,7.339206581,7.357666701,7.416993297,7.422906019
3/22/2000,6.577656767,6.824346096,7.030794709,7.101926088,7.191161819,7.235859638,7.30846924,7.268669216,7.264942516,7.257217677,7.308018692,7.274000709,7.286687144,7.298331058,7.369200457,7.34552523,7.358805427,7.378175776,7.437633162,7.442051617
3/23/2000,6.61,6.862257509,7.057389757,7.122921176,7.202268296,7.242060112,7.299533898,7.253588181,7.240845587,7.227565547,7.278386812,7.239686585,7.242776,7.253795851,7.320431356,7.294877781,7.309271213,7.328448577,7.388368485,7.391011342
3/24/2000,6.688475935,6.995,7.213491219,7.293459259,7.368442856,7.388628639,7.421247109,7.348877957,7.335758646,7.314102926,7.349938562,7.300198748,7.294216576,7.295541007,7.352138194,7.31980336,7.334575988,7.353777353,7.414076786,7.414970065
3/27/2000,6.713675205,7.035270138,7.273221014,7.350720501,7.42,7.434687474,7.460740973,7.377201371,7.355930904,7.324848283,7.350866235,7.2890766,7.279877828,7.276961011,7.328672592,7.289172612,7.301179457,7.319608534,7.381250749,7.376496368
3/28/2000,6.707071911,7.023354365,7.254779104,7.336653882,7.41552913,7.435,7.460362989,7.381317483,7.365563441,7.339591247,7.37063645,7.308476355,7.299962917,7.296983631,7.353617044,7.313532297,7.33104003,7.350104051,7.411869593,7.405423771
3/29/2000,6.703122044,7.006783218,7.241379916,7.31719993,7.391134612,7.420426833,7.45,7.380587725,7.365375689,7.344435376,7.380483991,7.317759668,7.314614281,7.316875917,7.378665716,7.337963486,7.360787994,7.384839987,7.452027396,7.444768332
3/30/2000,6.671062746,6.952939755,7.156878896,7.228234253,7.306504776,7.325832131,7.364830791,7.3,7.280231329,7.259583531,7.295412195,7.232165517,7.229699879,7.23226674,7.293927596,7.252553008,7.276244866,7.300248913,7.367749206,7.358468598
3/31/2000,6.677700063,6.96170501,7.167550265,7.217853892,7.281692637,7.295910923,7.319389922,7.249362477,7.225,7.20477353,7.24030573,7.176599386,7.17474272,7.177833545,7.234395209,7.192088457,7.216717522,7.240661811,7.308465097,7.29712659
4/3/2000,6.686286541,6.947119459,7.119385314,7.164624559,7.222032071,7.226610265,7.248336409,7.177638809,7.159370572,7.145562729,7.179789219,7.115,7.119913959,7.124094506,7.179837649,7.13594041,7.167821007,7.192060593,7.260506362,7.242974404
4/4/2000,6.556432805,6.736965224,6.874886151,6.930870958,6.987811394,7.008263192,7.043866529,6.987963696,6.984685297,6.981179246,7.024774253,6.969654963,6.985,6.999427606,7.064703853,7.030320049,7.072939046,7.102285263,7.175829272,7.161150297
4/5/2000,6.629078027,6.823186499,6.980573374,7.02057024,7.077817778,7.087741845,7.112811285,7.047121178,7.039343715,7.031389617,7.069428178,7.009292528,7.0251677,7.035,7.094882493,7.060242529,7.098588219,7.127756426,7.201579576,7.184615971
4/6/2000,6.636248039,6.836353845,6.996778053,7.042707816,7.114186893,7.128470193,7.157947169,7.096861256,7.089150597,7.081788002,7.119181073,7.058973663,7.075324119,7.085517028,7.145,7.110109587,7.149071542,7.17828509,7.252345958,7.22862055
4/7/2000,6.637625906,6.838920706,6.997192047,7.037620247,7.10442128,7.118529962,7.142416632,7.081201605,7.068832192,7.061999239,7.093793501,7.033553104,7.045395103,7.055994317,7.11006252,7.075,7.109579614,7.138820678,7.213044482,7.186935997
4/10/2000,6.627522658,6.81780914,6.958362529,7.000579437,7.071076916,7.090604477,7.116446949,7.054946715,7.043261937,7.038187679,7.067776,7.007684841,7.020706275,7.032619147,7.085059528,7.049837701,7.090879274,7.120600478,7.195,7.161803821
4/11/2000,6.624204194,6.846750495,7.012560561,7.061232691,7.12507131,7.141615485,7.170871915,7.10414052,7.093166481,7.088583187,7.117397514,7.057432854,7.070794738,7.083189141,7.135012662,7.099827742,7.141302944,7.171214902,7.245630672,7.21
